Time;Sec;Object Name;Status;Value
9:47:06;179;TIC Gauge 1;11;13.916
9:47:06;179;TIC Gauge 2;5;9900000000
9:47:07;180;TIC Gauge 3;5;9900000000
9:47:08;181;TIC Turbo Speed;;1.6
9:47:08;181;TIC Turbo Power;;7
9:47:08;181;TIC Gauge 1;11;13.853
9:47:08;181;TIC Gauge 2;5;9900000000
9:47:09;182;TIC Gauge 3;5;9900000000
9:47:10;183;TIC Turbo Speed;;1.6
9:47:10;183;TIC Turbo Power;;8
9:47:10;183;TIC Gauge 1;11;13.759
9:47:11;184;TIC Gauge 2;5;9900000000
9:47:11;184;TIC Gauge 3;5;9900000000
9:47:12;185;TIC Turbo Speed;;1.6
9:47:12;185;TIC Turbo Power;;7.5
9:47:13;186;TIC Gauge 1;11;13.697
9:47:13;186;TIC Gauge 2;5;9900000000
9:47:13;186;TIC Gauge 3;5;9900000000
9:47:14;187;TIC Turbo Speed;;1.6
9:47:15;188;TIC Turbo Power;;6.1
9:47:15;188;TIC Gauge 1;11;13.603
9:47:15;188;TIC Gauge 2;5;9900000000
9:47:15;188;TIC Gauge 3;5;9900000000
9:47:17;190;TIC Turbo Speed;;1.6
9:47:17;190;TIC Turbo Power;;8.7
9:47:17;190;TIC Gauge 1;11;13.519
9:47:17;190;TIC Gauge 2;5;9900000000
9:47:17;190;TIC Gauge 3;5;9900000000
9:47:19;192;TIC Turbo Speed;;1.6
9:47:19;192;TIC Turbo Power;;6.8
9:47:19;192;TIC Gauge 1;11;13.456
9:47:19;192;TIC Gauge 2;5;9900000000
9:47:19;192;TIC Gauge 3;5;9900000000
9:47:21;194;TIC Turbo Speed;;1.6
9:47:21;194;TIC Turbo Power;;7
9:47:21;194;TIC Gauge 1;11;13.372
9:47:21;194;TIC Gauge 2;5;9900000000
9:47:21;194;TIC Gauge 3;5;9900000000
9:47:23;196;TIC Gauge 2;5;9900000000
9:47:23;196;TIC Turbo Speed;;1.6
9:47:23;196;TIC Turbo Power;;6.8
9:47:23;196;TIC Gauge 3;5;9900000000
9:47:23;196;TIC Gauge 1;11;13.203
9:47:25;198;TIC Turbo Speed;;1.6
9:47:25;198;TIC Turbo Power;;6.1
9:47:25;198;TIC Gauge 1;11;13.203
9:47:25;198;TIC Gauge 2;5;9900000000
9:47:25;198;TIC Gauge 3;5;9900000000
9:47:27;200;TIC Turbo Speed;;1.6
9:47:27;200;TIC Turbo Power;;5.4
9:47:27;200;TIC Gauge 1;11;13.153
9:47:27;200;TIC Gauge 2;5;9900000000
9:47:27;200;TIC Gauge 3;5;9900000000
9:47:29;202;TIC Turbo Speed;;1.6
9:47:29;202;TIC Turbo Power;;6.1
9:47:29;202;TIC Gauge 1;11;12.984
9:47:29;202;TIC Gauge 2;5;9900000000
9:47:29;202;TIC Gauge 3;5;9900000000
9:47:31;204;TIC Gauge 2;5;9900000000
