T,V1,V2,V3
-9.16100E-03,-1.00954773E+00,+468.59252E-03,-39.99421883E+00
-9.14800E-03,-989.44723E-03,-234.92507E-03,-41.75301283E+00
-9.13500E-03,-1.02462311E+00,+468.59252E-03,-39.99421883E+00
-9.12200E-03,-1.02964823E+00,+1.17211012E+00,-39.99421883E+00
-9.10900E-03,-1.02462311E+00,+770.10006E-03,-39.99421883E+00
-9.09600E-03,-1.02462311E+00,+468.59252E-03,-41.75301283E+00
-9.08300E-03,-1.06482411E+00,+468.59252E-03,-39.99421883E+00
-9.07000E-03,-1.02462311E+00,+468.59252E-03,-39.99421883E+00
-9.05700E-03,-1.03969848E+00,-33.92004E-03,-39.99421883E+00
-9.04400E-03,-1.06482411E+00,+468.59252E-03,-39.74296254E+00
-9.03100E-03,-1.06482411E+00,+468.59252E-03,-39.99421883E+00
-9.01800E-03,-1.06984924E+00,+368.09001E-03,-38.23542482E+00
-9.00500E-03,-1.08994974E+00,-33.92004E-03,-39.99421883E+00
-8.99200E-03,-1.10502512E+00,+1.17211012E+00,-39.99421883E+00
-8.97900E-03,-1.10502512E+00,+770.10006E-03,-38.73793739E+00
-8.96600E-03,-1.14020100E+00,+1.27261263E+00,-39.99421883E+00
-8.95300E-03,-1.10502512E+00,+267.58750E-03,-39.99421883E+00
-8.94000E-03,-1.10502512E+00,+468.59252E-03,-38.23542482E+00
-8.92700E-03,-1.13015074E+00,+770.10006E-03,-38.73793739E+00
-8.91400E-03,-1.14522612E+00,+1.17211012E+00,-39.99421883E+00
