v	A
9.51290131	0.00096521
9.52482224	0.00086304
9.53674316	0.00149661
9.54866409	0.00167561
9.56058502	0.00094332
9.57250595	0.00065301
9.58442688	0.00124528
9.59634781	0.00152424
9.60826874	0.00225338
9.62018967	0.00112202
9.63211060	0.00407245
9.64403152	0.00749861
9.65595245	0.00929874
9.66787338	0.01057838
9.67979431	0.00828784
9.69171524	0.00421494
9.70363617	0.00238495
9.71555710	0.00129786
9.72747803	0.00078583
9.73939896	0.00089366
9.75131989	0.00086535
9.76324081	0.00074105
9.77516174	0.00040087
9.78708267	0.00007062
9.79900360	0.00004033
9.81092453	0.00043538
9.82284546	0.00093391
9.83476639	0.00118016
9.84668732	0.00115449
9.85860825	0.00101092
9.87052917	0.00044476
9.88245010	0.00059732
9.89437103	0.00088047
9.90629196	0.00034420
9.91821289	0.00138052
9.93013382	0.00174334
9.94205475	0.00183826
9.95397568	0.00517413
9.96589661	0.02396057
9.97781754	0.06057029
9.98973846	0.08060116
10.00165939	0.08070006
10.01358032	0.07528724
10.02550125	0.04671033
10.03742218	0.01209642
10.04934311	0.00052526
10.06126404	0.00156162
10.07318497	0.00163237
10.08510590	0.00132194
10.09702682	0.00051035
10.10894775	0.00027217
10.12086868	0.00084757
10.13278961	0.00141515
10.14471054	0.00139108
10.15663147	0.00088983
10.16855240	0.00068747
10.18047333	0.00039214
10.19239426	0.00079059
10.20431519	0.00145048
10.21623611	0.00138629
10.22815704	0.00131480
10.24007797	0.00120118
10.25199890	0.00150707
10.26391983	0.00250744
10.27584076	0.00186276
10.28776169	0.00130262
10.29968262	0.00357702
10.31160355	0.00605540
10.32352448	0.00883810
10.33544540	0.00860447
10.34736633	0.00652284
10.35928726	0.00501283
10.37120819	0.00237907
10.38312912	0.00056553
10.39505005	0.00107005
10.40697098	0.00090592
10.41889191	0.00066922
10.43081284	0.00040032
10.44273376	0.00043948
10.45465469	0.00102893
10.46657562	0.00122266
10.47849655	0.00123506
10.49041748	0.00097798
10.50233841	0.00082312
10.51425934	0.00110273
10.52618027	0.00070349
10.53810120	0.00070168
10.55002213	0.00109935
10.56194305	0.00056795
10.57386398	0.00075819
10.58578491	0.00092850
10.59770584	0.00119286
10.60962677	0.00164875
10.62154770	0.00157021
10.63346863	0.00627911
10.64538956	0.00963567
10.65731049	0.01118892
10.66923141	0.01191546
10.68115234	0.00864353
10.69307327	0.00398896
10.70499420	0.00190345
10.71691513	0.00067717
10.72883606	0.00041234
10.74075699	0.00045441
10.75267792	0.00040549
10.76459885	0.00055215
10.77651978	0.00056295
10.78844070	0.00049785
10.80036163	0.00035994
10.81228256	0.00032656
10.82420349	0.00043239
10.83612442	0.00032301
10.84804535	0.00111609
10.85996628	0.00162477
10.87188721	0.00120248
10.88380814	0.00084193
10.89572906	0.00125206
10.90764999	0.00099382
10.91957092	0.00146367
10.93149185	0.00168459
10.94341278	0.00180370
10.95533371	0.00574060
10.96725464	0.02666466
10.97917557	0.06258978
10.99109650	0.07878470
11.00301743	0.07774493
11.01493835	0.07065950
11.02685928	0.04039000
11.03878021	0.00877870
11.05070114	0.00073804
11.06262207	0.00061899
11.07454300	0.00049110
11.08646393	0.00036254
11.09838486	0.00025598
11.11030579	0.00017148
11.12222672	0.00018099
